M mẽ
H hai
NH nahī̃
L lie
K gayā
T0 tathā
APN apne
KX kuch
S0 sāth
HT hotā
0 thā
T diyā
RP rupye
S se
RH rahā
PT bāt
KH kahā
SM samay
PRKR prakār
PHT bahut
TR tarah
FR phir
TFR dvārā
ATK adhik
HN hone
AFM evam
ANK unke
FL vāle
TN din
LKN lekin
KM kām
ASK iske
AN unhẽ
KP kabhī
AT ādi
LK log
PR bār
AH yahā̃
ANN unhonne
KR gurū
PS pās
FH vahā̃
PRT bhārat
PRPT prāpt
HK hogā
AS isī
TS deś
SP sabhī
NM nām
FRS varṣ
FKS vikās
TSR dūsre
H0 hāth
MR mere
MN mainne
TM tum
PK bīc
FKT vyakti
AL islie
FSS viśeṣ
A0F athvā
KNK kyoṅki
SN sinh
0K ṭhīk
S0T sthiti
PRNT parantu
S0N sthān
KF gā̃v
RJ rājya
ALK alag
LKR lekar
AP abhī
ASM ismẽ
FPN vibhinna
FKR vicār
JS jis
PHR bāhar
APR ūpar
PN banā
SMN sāmne
SKS śikṣā
SRR śarīr
HKR hokar
TRST dŕṣṭi
SR śrī
SPT śabd
LKT lagtā
AJ āge
ATR uttar
KNT kintu
LJ lage
LKPK lagbhag
MTR mātrā
ATN adhyayan
JSM jismẽ
NS nīce
AR0 arth
AFSK āvaśyak
XT choṭe
PRTST pratiśat
AKR agar
A āyā
HJ hogī
ML mil
SFM svayam
RT rāt
HM hamẽ
APK upyog
MHTFPRN mahatvapūrṇ
MK mukhya
SL sāl
JT jyādā
SHT sāhitya
PRF pūrva
NRMN nirmāṇ
FS viṣay
TK dekh
STR citra
PRTK pratyek
MNS manuṣya
SPST spaṣṭ
RNK raṅg
AKS acchā
RK rog
KL kāl
FJN vigyān
P bhāī
KN gyān
TL dillī
PNN banāne
AFSKT āvaśyaktā
AR0K ārthik
ATRKT atirikt
TRF taraph
LN lene
SMJK sāmājik
SMJ samajh
MKR magar
PX bacce
PTR patra
SNSKRT sanskŕti
ANM unmẽ
FRK varg
FPK vibhāg
KT cāhtā
JK jagah
S0PT sthāpit
RSTR rāṣṭrīya
SFR svar
KSTR kṣetrõ
JSK jiske
JNM janma
J jāe
TRN daurān
JNT jantā
KS kis
KNTR kendra
SHP sāhab
PRN pūrṇ
PLS pulis
PL bolā
SMS samasyā
KRKRM kāryakram
FF vivāh
PM bhūmi
PF bhāv
TKKR dekhkar
KRR karoṛ
PRTM pratham
PRFRTN parivartan
LP lābh
PRTN pradān
SF sevā
FFR vyavhār
RM rām
RKN racnā
MT miṭṭī
SH sahī
APLPT uplabdh
PLK balki
LT lete
JN jān
ST śāyad
SRKR sarkārī
KK cukā
FT vidhi
JPK jabki
SRF sirph
TRSN darśan
LL lāl
NKL nikal
N naye
PNJP pañjāb
NT nadī
MRT mŕtyu
SFKR svīkār
ANTRKS antarikṣ
A0 uṭhā
TT dūdh
KNKRS kāṅgres
MTM mādhyam
SMPNT sambandhī
PRNL praṇālī
TP tabhī
HNJ hoṅge
ATS uddeśya
FSFS viśvās
PXL pichle
NST niścit
JNKR jānkārī
ANT ant
AST ucit
SNJT saṅgīt
JLT jaldī
KSMT kṣamtā
HJR hajār
KSS kośiś
FSL phasal
PRKRT prakŕti
PRKT prakaṭ
PKS pakṣ
ATP yadyapi
PSTKL pustakālay
SMT samiti
SMKR sāmagrī
ANTRKT antargat
SML śāmil
ANS unse
APKS apekṣā
NKR nagar
PSTK pustak
FRNN varṇan
JR jor
LKSN lakṣaṇ
NMK nāmak
TMR tumhāre
FSF viśva
SSN śāsan
AK yug
P0 baiṭh
S0PN sthāpnā
AR0T arthāt
AFSR avsar
MLM mālūm
PRKS prakāś
SMPT samāpt
TRMK dhārmik
FRTMN vartamān
0R thoṛī
FKST viksit
PNT band
PRST prasiddh
FSST viśiṣṭ
PRM prem
RKT rakhte
PFN bhāvnā
KLT caltā
PRS puruṣ
PTR0 padārth
KRK karegā
FST vastu
ATNT atyant
SNK0N saṅgṭhan
KTN kitnā
ASTML istemāl
PP bābā
PRKST prakāśit
TNK ḍhaṅg
ATKR adhikār
SK sake
SKN sūcnā
ANKRJ aṅgrejī
SNTR sundar
ATNK ādhunik
SHR śahar
PRTNMNTR pradhānmantrī
PRMN brāhmaṇ
MHN mahīne
HF havā
SNSR sansār
FRT virodh
PRSKSN praśikṣaṇ
SNK saṅgh
PR0F pŕthvī
ARJ ūrjā
HMN hamne
FSTFK vāstavik
SHK sahyog
AFT avdhi
MRK mārg
PRKLT praclit
SNKRS saṅgharṣ
ATKNS adhikānś
FTFRN vātāvraṇ
TLN tulnā
RJF rājīv
STRN sādhāraṇ
SMPRN sampūrṇ
RJS0N rājasthān
SFL saphal
FPS vāpas
MNSK mānsik
PRMPR paramparā
PJ bīj
P0K baiṭhak
JRRT jarūrat
KRMN grāmīṇ
K0 kathā
PTST bātcīt
PRPFT prabhāvit
NRTRT nirdhārit
KSN kisān
AX icchā
ARMP ārambh
