XNTN chendin
JL july
MNTLNK mandlaniki
PN pin
MNTLLN mandalaloni
PRXL parshal
SNK sankhya
PRT bharat
KRHL grihal
RFN ravinyu
STRL stril
MT mat
PRPTFN prabhutvan
NRFHNXN nirvahinchin
KNNKL ganankal
A a
ANTR antar
AK ek
MR mari
KT gat
NT nati
L la
AT at
AN anni
PRKR prakara
PRTN pradhan
XL chala
PR por
JNP janabha
TN tanu
KRM gram
ANTL indulo
TLK telegu
KRML gramlo
LN loni
NX nuchi
TR dur
KN gani
RNT rend
FRK varg
LT leda
TRFT dravid
FR var
ATR yatra
LKL lekkal
XSN shasana
PRMK pramukh
JRJN jarigin
FNT vundi
ANK anek
FT vat
AKT ikkad
XR shri
MTT modati
KS gas
PT pat
JT git
K ga
XN chinn
AF ivi
KRNX gurinchi
APFRT abhivruddhi
XS chessi
PRTX british
SNM cinema
MLL mulalu
MNT mandi
P bai
FFT vividh
TNN dinini
KRMNK gramaniki
MTRM matrame
FKXN vachchin
PRTK pratyek
SML samayaulo
TM tam
XRTR charitra
FLN valan
NFS nivas
KLJ kaleji
PRPTF prabhutva
FRT phurti
RXTR rashtra
PRSNT present
KTFR godavari
MNX manchi
N na
KLML kalamlo
FNK viniog
KL kallu
SNS0 sansth
AKF akkuv
TRJ tirigi
AKFK akkuvaga
KLJN kaligin
LNKL linkulu
AL wallu
PNTN pondin
FTNK vidhnga
ANT and
JLLN jillaloni
TNK diniki
PRTMK prathamik
SNFTSR sanvatsara
F vayu
MHL mahill
TRL duralo
SNFTSRL sanvatsaral
RNTF rendav
FL vall
ATNT atyant
NLK nalugu
RL rile
ARK wariki
KLS kalisi
PL palu
PK baga
T de
KRK greek
FKX vachche
SMPNTNXN sambandhinchin
PRPNX prapanch
PRNT pranta
MLK maulik
TRXN darshaniya
TNTR tandri
SMR sumaru
KNT kanti
ARPT erpat
KLM kalam
ATN itani
TKXN dakshin
AMP ambe
ANKL annikal
MTR metre
TTP dadapu
NKR nagar
SKRM saukaryam
FTN vatini
STRNK sadharannga
MNTL mandul
PRNTL prantal
MK mak
ATPT utpatti
TL talli
ALJ alage
AP app
FSL vyasal
PRJL prajal
TKF takkuv
KKNT kakunda
KFLM kevalam
MLN milian
KRNNK karnanga
PKNK bhaganga
PM bhumi
SMJK samajik
LKNT lekunda
ATM udyam
RK rog
PX bhaash
MKNK mukhyanga
TRP turpu
XK shakh
STRN sadharan
FRTK phurtiga
JLK jillaku
SNJT sangit
PTR patra
LK lok
RJ roju
MKMN mukhyamin
ANTRJT antarjatiya
MRNT marint
ATK udyog
ATRNK aadharanga
XT chet
KLMTR kilometre
KNTR kendra
AFKX avakash
MN man
NR neeru
MRX march
KP gopp
SNFTSRNL sanvatsaranlo
XNT chuundi
MJLN migilin
NTNXN natinchin
APT appati
RKL rakal
MRK marg
FRN varna
S0NN sthanaion
FFS vyavasay
M me
XTR chitra
PKN bhagan
XFR chivari
JNR january
XKXN shikshan
ARJ arogya
AR0K aarthik
KTN kudin
JFT jivita
XTNK cheyadaniki
FLPL valeupali
PRST prasiddhi
NLR nelluru
FJ vijay
FTL vetali
KK kak
AKTPR october
RT road
TKR degree
KLP kalypi
NRK neruga
K0 kath
FTTL vidudal
SMPNL sameepanlo
XRRML shriramulu
TX desh
SM swami
KRTMP gurtimpu
SMP sameep
AR uri
JN june
FKT vyakti
RKT rakta
XKT shakti
TLNKN telangan
FFS0 vyavasthi
FFSM vyavasayam
LL lalo
ATNK aadhunik
RXNXN rachinchin
NRMN nirmana
PXM paschim
HNTS hindus
MJ maji
FP vapu
NRMNXN nirminchin
ANTRPRTX andhrapradesh
STRS sutras
SHT sahitya
APRL april
JLL julylo
SNTRPNK sandarbhanga
KRMS gramas
ASMPL asembli
STXN steshan
SPTMPR september
STR sodar
MTF mudav
JPT jabita
JRJ jarige
PRPFN prabhavan
FTTLN vidudalan
XSNSP shasansabh
PRMKL pramukhulu
ANNTRM anantaram
LNT land
TRKT targati
KRNT krindi
S0N sthana
S0 sthai
RP rupao
PRTNNK pradhananga
KRN karna
FSTRNX vistarinchi
KR guru
AMRK america
TXNL deshanlo
KTL godel
PRTL paridhilo
ATTK atyadhik
PS bassu
KNK kanuk
RJTN rajdhani
SR siri
AKK ockk
STNK stanik
KRXN krishna
FNKT venkat
FPRFR fibravari
FXM vishyam
FRL varilo
ASL aslu
SN sainya
NJKFRK niojakvarg
SH saha
KMR kumar
XRTRL charitralo
AFSRM avasaram
